,nom,public_prive,commune,departement,ips,taux_mention_bien+
179,EDMOND ALBIUS,PUBLIC,LE PORT,LA REUNION,69.5,41.9
180,DE MTSAMBORO,PUBLIC,MTSAMBORO,MAYOTTE,69.5,23.6
181,AUGUSTE LACAUSSADE,PUBLIC,SALAZIE,LA REUNION,69.5,37.4
182,PAUL ELUARD,PUBLIC,GARGES-LES-GONESSE,VAL-D'OISE,69.6,32.8
183,TITAN,PUBLIC,LE PORT,LA REUNION,69.6,40.3
184,FEDERICO GARCIA LORCA,PUBLIC,SAINT-DENIS,SEINE-SAINT-DENIS,69.7,29.7
185,LEZAY MARNESIA,PUBLIC,STRASBOURG,BAS-RHIN,69.7,38.7
186,LOU BLAZER,PUBLIC,MONTBELIARD,DOUBS,69.8,35.7
187,LE LAC,PUBLIC,SEDAN,ARDENNES,69.8,28.0
188,PAUL ELUARD,PUBLIC,VENISSIEUX,RHONE,69.8,40.5
189,CHANTEREINE,PUBLIC,SARCELLES,VAL-D'OISE,69.8,25.6
190,LES DEUX CANONS,PUBLIC,SAINT-DENIS,LA REUNION,69.8,32.6
191,PIERRE ADT,PUBLIC,FORBACH,MOSELLE,70.0,34.7
192,HENRI MATISSE,PUBLIC,SAINT-PIERRE,LA REUNION,70.0,30.7
193,MARCEL HENRY,PUBLIC,CHIRONGUI,MAYOTTE,70.1,21.1
194,JUST HYASINE,PUBLIC,MACOURIA,GUYANE,70.1,21.4
195,JOSEPH ROUMANILLE,PUBLIC,AVIGNON,VAUCLUSE,70.1,40.8
196,ROMAIN ROLLAND,PUBLIC,CLICHY-SOUS-BOIS,SEINE-SAINT-DENIS,70.2,29.4
197,LOUIS DELGRES,PUBLIC,SAINT-PIERRE,MARTINIQUE,70.2,27.2
198,GERARD PHILIPE,PUBLIC,CLERMONT-FERRAND,PUY-DE-DOME,70.3,42.4
199,JOSEPH BEDIER,PUBLIC,SAINT-ANDRE,LA REUNION,70.3,44.8
200,PAUL LANGEVIN,PUBLIC,AVION,PAS-DE-CALAIS,70.4,41.0
201,ELSA TRIOLET,PUBLIC,MARSEILLE 15E  ARRONDISSEMENT,BOUCHES-DU-RHONE,70.5,26.3
202,VIEUX PORT,PUBLIC,MARSEILLE  2E  ARRONDISSEMENT,BOUCHES-DU-RHONE,70.5,37.6
203,EUGENE NONNON,PUBLIC,CAYENNE,GUYANE,70.5,22.4
204,JULES VALLES,PUBLIC,LA RICAMARIE,LOIRE,70.5,44.6
205,HENRI BARBUSSE,PUBLIC,SAINT-DENIS,SEINE-SAINT-DENIS,70.6,36.9
206,DE LA MORINIE,PUBLIC,SAINT-OMER,PAS-DE-CALAIS,70.6,32.0
207,ALBERT CAMUS,PUBLIC,CLERMONT-FERRAND,PUY-DE-DOME,70.7,38.7
208,BLOIS-BEGON,PUBLIC,BLOIS,LOIR-ET-CHER,70.7,31.1
209,ANATOLE FRANCE,PUBLIC,MONT-SAINT-MARTIN,MEURTHE-ET-MOSELLE,70.7,39.5
210,HENRI WALLON,PUBLIC,LE HAVRE,SEINE MARITIME,70.8,32.0
211,DANIELLE DARRAS RIAUMONT,PUBLIC,LIEVIN,PAS-DE-CALAIS,70.9,28.9
212,GEORGE SAND,PUBLIC,TOULOUSE,HAUTE-GARONNE,70.9,36.6
213,SAINT MICHEL,PRIVE,ROUBAIX,NORD,70.9,43.6
214,CHARLES BAUDELAIRE,PUBLIC,CLERMONT-FERRAND,PUY-DE-DOME,71.0,46.7
215,ALBERT CAMUS,PUBLIC,MEAUX,SEINE-ET-MARNE,71.0,31.3
216,PIERRE DE RONSARD,PUBLIC,HAUTMONT,NORD,71.1,32.0
217,CAMILLE DESMOULINS,PUBLIC,GUISE,AISNE,71.1,46.3
218,ANNE FRANK,PUBLIC,SAINT-DIZIER,HAUTE-MARNE,71.1,24.6
219,ROBERT DOISNEAU,PUBLIC,CLICHY-SOUS-BOIS,SEINE-SAINT-DENIS,71.2,23.8
220,JEAN LURCAT,PUBLIC,SARCELLES,VAL-D'OISE,71.2,27.3
221,DE M'TSANGAMOUJI,PUBLIC,M'TSANGAMOUJI,MAYOTTE,71.2,15.2
222,JACQUES DECOUR,PUBLIC,SAINT-PIERRE-DES-CORPS,INDRE-ET-LOIRE,71.2,32.6
223,TERRE SAINTE,PUBLIC,SAINT-PIERRE,LA REUNION,71.3,43.2
224,PAUL GAUTHIER,PUBLIC,CAVAILLON,VAUCLUSE,71.5,32.8
225,BOIELDIEU,PUBLIC,ROUEN,SEINE MARITIME,71.5,34.7
226,ANDRE MALRAUX,PUBLIC,COMPIEGNE,OISE,71.5,37.1
227,CHARLES FAUQUEUX,PUBLIC,BEAUVAIS,OISE,71.5,26.3
228,CHEMIN MORIN,PUBLIC,SAINT-ANDRE,LA REUNION,71.6,43.0
229,MICHELET,PUBLIC,LENS,PAS-DE-CALAIS,71.6,39.9
230,DE TSINGONI,PUBLIC,TSINGONI,MAYOTTE,71.6,24.2
231,ADRIEN CERNEAU,PUBLIC,SAINTE-MARIE,LA REUNION,71.6,45.7
232,LOUISE MICHEL,PUBLIC,CLICHY-SOUS-BOIS,SEINE-SAINT-DENIS,71.6,29.0
233,PAUL CEZANNE,PUBLIC,MANTES-LA-JOLIE,YVELINES,71.6,18.3
234,NINA SIMONE,PUBLIC,LILLE,NORD,71.6,27.1
235,AL KINDI,PRIVE,DECINES-CHARPIEU,RHONE,71.7,55.1
236,MIRAMARIS,PUBLIC,MIRAMAS,BOUCHES-DU-RHONE,71.7,31.3
237,JEAN MOULIN,PUBLIC,BRIVE-LA-GAILLARDE,CORREZE,71.7,25.7
238,JEAN DASTE,PUBLIC,SAINT-ETIENNE,LOIRE,71.7,38.6
239,JEAN JAURES,PUBLIC,LENS,PAS-DE-CALAIS,71.8,31.5
240,COLBERT,PUBLIC,REIMS,MARNE,71.8,42.8
241,FRANCOIS RABELAIS,PUBLIC,BLOIS,LOIR-ET-CHER,71.8,23.1
242,GAYANT,PUBLIC,DOUAI,NORD,71.8,21.1
243,FELICIEN JOLY,PUBLIC,FRESNES-SUR-ESCAUT,NORD,71.8,33.9
244,JEAN LOLIVE,PUBLIC,PANTIN,SEINE-SAINT-DENIS,71.8,36.8
245,EUGENE VARLIN,PUBLIC,LE HAVRE,SEINE MARITIME,71.8,25.3
246,MIRIAM MAKEBA,PUBLIC,LILLE,NORD,71.9,35.4
247,CAMBUSTON,PUBLIC,SAINT-ANDRE,LA REUNION,71.9,44.9
248,VICTOR HUGO,PUBLIC,AUBY,NORD,71.9,35.2
249,ALAIN,PUBLIC,SAINT-FONS,RHONE,72.0,27.0
